Date,Cryptocurrency,Crackdown,Crypto,Blockchain,Digital currency,Crypto Mining,DeFi,Altcoins,Smart contracts,Stablecoin,Bittrex,Coinbase,Vitalik,Satoshi,Cryptocurrency regulation,Gary Gensler,Tesla,Elon Musk,Whales,Decentralised finance,Distributed ledger,Halving,ICO,China Digital Currency
26/11/17,20,4,4,39,36,16,20,17,5,0,34,4,4,49,0,0,11,3,26,0,7,1,25,0
27/11/17,25,2,6,59,29,17,20,18,5,0,40,5,3,48,3,0,10,3,25,0,13,1,30,0
28/11/17,31,2,6,59,42,22,25,26,11,0,46,6,5,64,6,0,11,4,22,0,36,1,38,0
29/11/17,40,2,8,74,59,20,18,37,1,0,55,14,4,91,0,0,10,3,21,0,20,1,36,0
30/11/17,30,3,6,71,51,20,26,28,7,0,42,9,6,54,0,0,10,3,24,0,35,1,32,0
1/12/17,29,3,6,59,41,21,20,19,11,0,34,7,4,67,12,0,10,4,28,0,22,0,34,0
2/12/17,26,1,6,48,24,22,20,30,6,0,38,5,3,47,0,0,11,3,19,0,9,1,27,0
3/12/17,27,2,7,46,9,13,17,31,7,0,42,5,4,72,3,0,10,3,28,0,39,1,28,0
4/12/17,33,2,8,62,42,31,26,31,8,3,45,6,3,64,8,0,10,3,22,0,62,1,39,0
5/12/17,34,2,9,64,42,19,23,23,5,0,48,6,4,61,0,0,9,2,24,0,35,2,37,0
6/12/17,37,1,11,75,45,26,24,42,9,0,60,10,5,66,11,0,9,2,26,0,6,1,31,0
7/12/17,50,2,12,100,72,35,22,54,11,0,71,20,6,95,3,0,9,2,19,0,33,1,38,20
8/12/17,44,1,11,86,70,38,23,41,15,0,60,16,4,100,0,0,10,2,24,0,38,1,30,0
9/12/17,45,2,10,72,68,37,20,34,6,0,57,13,4,80,0,0,9,2,24,0,7,0,31,0
10/12/17,37,2,8,67,62,20,17,25,7,0,40,9,4,84,0,0,9,3,28,0,8,1,25,0
11/12/17,42,1,10,76,47,29,28,43,9,0,50,11,4,76,3,0,8,2,23,0,13,2,38,0
12/12/17,67,1,13,84,86,46,20,52,8,0,76,23,8,73,6,0,9,2,27,0,20,1,40,0
13/12/17,68,2,14,81,72,32,26,48,16,0,82,19,5,88,3,0,9,2,22,0,34,1,43,0
