Date,XRP
1/10/17,0.206532001
2/10/17,0.202675998
3/10/17,0.203318
4/10/17,0.214773998
5/10/17,0.237016007
6/10/17,0.234038994
7/10/17,0.238609999
8/10/17,0.279944003
9/10/17,0.251825005
10/10/17,0.260733008
11/10/17,0.264438987
12/10/17,0.248413995
13/10/17,0.260488987
14/10/17,0.257319987
15/10/17,0.263983011
16/10/17,0.256231993
17/10/17,0.232063994
18/10/17,0.218520001
19/10/17,0.215149999
20/10/17,0.210548997
21/10/17,0.211015999
22/10/17,0.204177007
23/10/17,0.196927994
24/10/17,0.206643999
25/10/17,0.204604
26/10/17,0.203628004
27/10/17,0.202785
28/10/17,0.201835006
29/10/17,0.202785
30/10/17,0.202711001
31/10/17,0.200558007
1/11/17,0.194123998
2/11/17,0.205861002
3/11/17,0.208132997
4/11/17,0.203749999
5/11/17,0.202055007
6/11/17,0.205990002
7/11/17,0.210354
8/11/17,0.217436999
9/11/17,0.217488006
10/11/17,0.206483006
11/11/17,0.210429996
12/11/17,0.197338998
13/11/17,0.203442007
14/11/17,0.209824994
15/11/17,0.212955996
16/11/17,0.227107003
17/11/17,0.226581007
18/11/17,0.228626996
19/11/17,0.231015995
20/11/17,0.238758996
21/11/17,0.233271003
22/11/17,0.238858998
23/11/17,0.242402002
24/11/17,0.244642004
25/11/17,0.252393007
26/11/17,0.248817995
27/11/17,0.253926992
28/11/17,0.299151987
29/11/17,0.243064001
30/11/17,0.250878006
1/12/17,0.255699009
2/12/17,0.255492002
3/12/17,0.252557993
4/12/17,0.253571004
5/12/17,0.246101007
6/12/17,0.232544005
7/12/17,0.222822994
8/12/17,0.252124995
9/12/17,0.244708002
10/12/17,0.237333
11/12/17,0.251691014
12/12/17,0.373540998
13/12/17,0.471062988
14/12/17,0.864262998
15/12/17,0.756181002
16/12/17,0.758642018
17/12/17,0.728366017
18/12/17,0.778406978
19/12/17,0.791257024
20/12/17,0.775964022
21/12/17,1.19306004
22/12/17,1.138280034
23/12/17,1.17434001
24/12/17,1.043949962
25/12/17,1.122320056
26/12/17,1.189489961
27/12/17,1.399639964
28/12/17,1.430879951
29/12/17,2.214600086
30/12/17,2.159019947
31/12/17,2.300570011
1/1/18,2.391030073
2/1/18,2.480900049
3/1/18,3.105370045
4/1/18,3.196630001
5/1/18,3.048710108
6/1/18,3.09397006
7/1/18,3.377810001
8/1/18,2.456209898
9/1/18,2.101779938
10/1/18,1.974920034
11/1/18,1.950799942
12/1/18,2.043230057
13/1/18,2.021349907
14/1/18,1.861189961
15/1/18,1.676730037
16/1/18,1.179239988
17/1/18,1.306339979
18/1/18,1.596580029
19/1/18,1.552049994
20/1/18,1.578619957
21/1/18,1.38004005
22/1/18,1.357349992
23/1/18,1.337069988
24/1/18,1.357149959
25/1/18,1.312229991
26/1/18,1.217270017
27/1/18,1.219110012
28/1/18,1.399600029
29/1/18,1.32396996
30/1/18,1.138560057
31/1/18,1.162389994
1/2/18,0.962530017
2/2/18,0.884783983
3/2/18,0.924043
4/2/18,0.815702975
5/2/18,0.691798985
6/2/18,0.776392996
7/2/18,0.723895013
8/2/18,0.805262983
9/2/18,0.954428017
10/2/18,1.070739985
11/2/18,1.004160047
12/2/18,1.081009984
13/2/18,1.02741003
14/2/18,1.14162004
15/2/18,1.146860003
16/2/18,1.138030052
17/2/18,1.204980016
18/2/18,1.120460033
19/2/18,1.144420028
20/2/18,1.089460015
21/2/18,1.015390038
22/2/18,0.941788018
23/2/18,0.998854995
24/2/18,0.95440203
25/2/18,0.943486989
26/2/18,0.956858993
27/2/18,0.947305024
28/2/18,0.904582977
1/3/18,0.928346992
2/3/18,0.910143971
3/3/18,0.907804012
4/3/18,1.005540013
5/3/18,0.95936799
6/3/18,0.922887027
7/3/18,0.871209979
8/3/18,0.825856984
9/3/18,0.849761009
10/3/18,0.796626985
11/3/18,0.831121981
12/3/18,0.801047981
13/3/18,0.789710999
14/3/18,0.701901972
15/3/18,0.697269022
16/3/18,0.689260006
17/3/18,0.637856007
18/3/18,0.658776999
19/3/18,0.749080002
20/3/18,0.709807992
21/3/18,0.693664014
22/3/18,0.662742972
23/3/18,0.643173993
24/3/18,0.641264975
25/3/18,0.641875029
26/3/18,0.599462986
27/3/18,0.57791698
28/3/18,0.578001976
29/3/18,0.511511028
30/3/18,0.509564996
31/3/18,0.512353003
1/4/18,0.485080987
2/4/18,0.500688016
3/4/18,0.558044016
4/4/18,0.501631021
5/4/18,0.495801002
6/4/18,0.476431012
7/4/18,0.487866998
8/4/18,0.50039798
9/4/18,0.491854995
10/4/18,0.491930991
11/4/18,0.539506018
12/4/18,0.628736973
13/4/18,0.638086975
14/4/18,0.632184029
15/4/18,0.682533979
16/4/18,0.663296998
17/4/18,0.65693301
18/4/18,0.708931983
19/4/18,0.791975975
20/4/18,0.924465001
21/4/18,0.873103023
22/4/18,0.869994998
23/4/18,0.876657009
24/4/18,0.934781015
25/4/18,0.800607026
26/4/18,0.852414012
27/4/18,0.813884974
28/4/18,0.863803983
29/4/18,0.872777998
30/4/18,0.837938011
1/5/18,0.841407001
2/5/18,0.859094024
3/5/18,0.884465992
4/5/18,0.895442009
5/5/18,0.905103028
6/5/18,0.871424019
7/5/18,0.832641006
8/5/18,0.813970029
9/5/18,0.802043021
10/5/18,0.758237004
11/5/18,0.684948027
12/5/18,0.696735024
13/5/18,0.745747983
