Date,ADA,BCH,BNB,BTC,DOGE,ETH,LINK,LTC,XMR,XRP
13/11/17,0.025807999,1353.98999,1.686619997,6559.490234,0.001211,316.7160034,0.183071002,61.39649963,123.4020004,0.203442007
14/11/17,0.02623,1273.530029,1.592579961,6635.75,0.001184,337.631012,0.188114002,62.67959976,122.3529968,0.209824994
15/11/17,0.026445,1212.400024,1.530449986,7315.540039,0.001339,333.3569946,0.186138004,63.82360077,121.3740005,0.212955996
16/11/17,0.02758,900.776001,1.57791996,7871.689941,0.00139,330.9240112,0.169761002,71.06020355,120.3050003,0.227107003
17/11/17,0.025773,1185.47998,1.510360003,7708.990234,0.001313,332.3940125,0.159649,67.56900024,126.6999969,0.226581007
18/11/17,0.026369,1254.530029,1.674329996,7790.149902,0.001373,347.6119995,0.170872003,69.64369965,130.798996,0.228626996
19/11/17,0.028084001,1172.050049,1.613770008,8036.490234,0.001376,354.3859863,0.162354007,71.58930206,129.4790039,0.231015995
20/11/17,0.029580999,1236.01001,1.624449968,8200.639648,0.001394,366.730011,0.162183002,72.25279999,135.7649994,0.238758996
21/11/17,0.02833,1176.969971,1.574059963,8071.259766,0.001389,360.401001,0.154972002,70.02829742,141.7380066,0.233271003
22/11/17,0.028549001,1303.310059,1.611750007,8253.549805,0.001823,380.6520081,0.168514997,71.89279938,165.9499969,0.238858998
23/11/17,0.027443999,1683.810059,1.548699975,8038.77002,0.001891,410.1659851,0.164383993,73.2233963,158.6069946,0.242402002
24/11/17,0.028382,1648.51001,1.717710018,8253.69043,0.001908,474.9110107,0.192920998,77.96829987,160.0269928,0.244642004
25/11/17,0.030447001,1571.27002,1.873870015,8790.919922,0.002072,466.276001,0.180959001,88.81690216,168.4420013,0.252393007
26/11/17,0.036332,1735.660034,1.853129983,9330.549805,0.002026,471.3299866,0.182888001,85.92680359,163.3739929,0.248817995
27/11/17,0.050593,1622.569946,1.942980051,9818.349609,0.001988,480.355011,0.184167996,91.60269928,173.3919983,0.253926992
28/11/17,0.119744003,1546.180054,1.917109966,10058.7998,0.002363,472.9020081,0.176423997,96.03379822,203.2100067,0.299151987
29/11/17,0.089717999,1359.709961,1.751530051,9888.610352,0.00208,427.5230103,0.145254999,85.57099915,168.1499939,0.243064001
30/11/17,0.119883001,1389.780029,1.996970057,10233.59961,0.002079,447.1140137,0.170460999,88.33070374,180.1380005,0.250878006
1/12/17,0.131352007,1462.680054,2.070230007,10975.59961,0.002148,466.5400085,0.177823007,99.00370026,190.9380035,0.255699009
2/12/17,0.132350996,1434.97998,2.084160089,11074.59961,0.002149,463.4490051,0.207898006,100.2839966,203.0339966,0.255492002
3/12/17,0.131806999,1559.930054,2.227250099,11323.2002,0.002223,465.8529968,0.230628997,101.2630005,200.0509949,0.252557993
4/12/17,0.135869995,1576.920044,2.491679907,11657.2002,0.002463,470.20401,0.229580998,104.2360001,210.2420044,0.253571004
5/12/17,0.127488002,1501.849976,2.595299959,11916.7002,0.002479,463.2810059,0.313876987,102.3970032,269.4840088,0.246101007
6/12/17,0.117839001,1430.099976,2.587690115,14291.5,0.002663,428.5880127,0.291570008,100.3519974,278.6849976,0.232544005
7/12/17,0.105501004,1330.930054,2.779949903,17899.69922,0.00272,434.4079895,0.260064006,98.29239655,280.855011,0.222822994
8/12/17,0.115465,1464.130005,2.830670118,16569.40039,0.002779,456.0310059,0.245225996,124.8460007,276.743988,0.252124995
9/12/17,0.119608998,1410.060059,2.610430002,15178.2002,0.002617,473.5020142,0.238858998,155.2420044,262.5329895,0.244708002
10/12/17,0.110280998,1323.069946,2.483370066,15455.40039,0.002547,441.7210083,0.252898008,148.6600037,245.3329926,0.237333
11/12/17,0.121382996,1423.380005,2.706650019,16936.80078,0.002798,515.1359863,0.260592014,214.2030029,279.6690063,0.251691014
12/12/17,0.133891001,1615.030029,2.68475008,17415.40039,0.003304,651.4310303,0.231424004,316.1589966,308.0669861,0.373540998
13/12/17,0.134280995,1607.650024,2.778100014,16408.19922,0.003461,702.7670288,0.261878014,302.6019897,305.7449951,0.471062988
14/12/17,0.240752995,1966.140015,3.158740044,16564,0.003709,695.815979,0.308503002,279.3280029,325.2059937,0.864262998
15/12/17,0.213467002,1815.430054,3.996150017,17706.90039,0.003762,684.447998,0.320793003,299.7789917,312.321991,0.756181002
16/12/17,0.404664993,1801.880005,4.664649963,19497.40039,0.005933,696.2089844,0.341392994,298.9719849,327.3210144,0.758642018
17/12/17,0.513010979,1862.880005,5.756720066,19140.80078,0.005984,719.9749756,0.417596012,318.7189941,351.3729858,0.728366017
18/12/17,0.518198013,2196.639893,5.615849972,19114.19922,0.006433,794.6450195,0.434906989,358.3359985,381.5119934,0.778406978
19/12/17,0.531273007,2805.889893,5.792329788,17776.69922,0.005666,826.822998,0.439355999,350.2529907,377.2359924,0.791257024
20/12/17,0.48615101,3923.070068,5.176209927,16624.59961,0.006661,819.0859985,0.372795999,314.6210022,469.197998,0.775964022
21/12/17,0.477851003,3267.169922,5.180009842,15802.90039,0.007425,821.0629883,0.424286991,317.4620056,417.980011,1.19306004
22/12/17,0.40715,2696.689941,4.336150169,13831.7998,0.006054,674.8599854,0.426878005,264.9320068,346.1130066,1.138280034
23/12/17,0.414027005,3257.080078,4.839260101,14699.2002,0.007259,719.3870239,0.577679992,288.2659912,382.0390015,1.17434001
24/12/17,0.390029013,2903.120117,5.285679817,13925.7998,0.008582,694.1480103,0.544161975,275.980011,337.0599976,1.043949962
25/12/17,0.416363001,2954.689941,6.560009956,14026.59961,0.008931,765.8339844,0.501932979,273.3900146,360.7820129,1.122320056
26/12/17,0.428465009,3108.889893,9.029419899,16099.7998,0.009411,773.8359985,0.521421015,286.5039978,381.5429993,1.189489961
