Date,XMR
23/5/18,171.5410004
24/5/18,171.4850006
25/5/18,164.7169952
26/5/18,164.5469971
27/5/18,166.0820007
28/5/18,149.9609985
29/5/18,157.5749969
30/5/18,155.2319946
31/5/18,155.5209961
1/6/18,157.5370026
2/6/18,162.647995
3/6/18,169.3549957
4/6/18,160.0939941
5/6/18,167.1940002
6/6/18,164.6139984
7/6/18,163.9060059
8/6/18,158.701004
9/6/18,154.9559937
10/6/18,139.5110016
11/6/18,138.0420074
12/6/18,125.6559982
13/6/18,121.8519974
14/6/18,132.9400024
15/6/18,122.776001
16/6/18,126.8280029
17/6/18,124.0630035
18/6/18,127.427002
19/6/18,126.2200012
20/6/18,122.5469971
21/6/18,123.612999
22/6/18,110.6019974
23/6/18,115.3779984
24/6/18,121.2910004
25/6/18,126.7610016
26/6/18,120.8170013
27/6/18,128.7100067
28/6/18,115.810997
29/6/18,126.7779999
30/6/18,131.0059967
1/7/18,129.772995
2/7/18,140.5010071
3/7/18,138.4609985
4/7/18,138.3970032
5/7/18,138.7539978
6/7/18,134.0449982
7/7/18,135.6109924
8/7/18,138.1179962
9/7/18,135.7330017
10/7/18,121.4789963
11/7/18,125.387001
12/7/18,120.2389984
13/7/18,122.5299988
14/7/18,123.2180023
15/7/18,123.9589996
16/7/18,135.2749939
17/7/18,144.0709991
18/7/18,139.7660065
19/7/18,139.5339966
20/7/18,130.1719971
21/7/18,132.1300049
22/7/18,128.723999
23/7/18,133.5749969
24/7/18,147.3990021
25/7/18,142.7359924
26/7/18,136.8139954
27/7/18,140.0639954
28/7/18,139.397995
29/7/18,135.3589935
30/7/18,131.802002
31/7/18,122.3180008
1/8/18,128.154007
2/8/18,122.7929993
3/8/18,120.0189972
4/8/18,113.9929962
5/8/18,117.2740021
6/8/18,113.5449982
7/8/18,108.0390015
8/8/18,94.53410339
9/8/18,100.5329971
10/8/18,91.72149658
11/8/18,93.6187973
12/8/18,93.20559692
13/8/18,88.23719788
14/8/18,84.17870331
15/8/18,89.54850006
16/8/18,91.07849884
17/8/18,99.20220184
18/8/18,98.16539764
19/8/18,98.42410278
20/8/18,93.37480164
21/8/18,94.915802
22/8/18,90.08059692
23/8/18,90.06289673
24/8/18,93.76110077
