Date,Price
24/5/18,7587.339844
25/5/18,7480.140137
26/5/18,7355.879883
27/5/18,7368.220215
28/5/18,7135.990234
29/5/18,7472.589844
30/5/18,7406.52002
31/5/18,7494.169922
1/6/18,7541.450195
2/6/18,7643.450195
3/6/18,7720.25
4/6/18,7514.470215
5/6/18,7633.759766
6/6/18,7653.97998
7/6/18,7678.240234
8/6/18,7624.919922
9/6/18,7531.97998
10/6/18,6786.02002
11/6/18,6906.919922
12/6/18,6582.359863
13/6/18,6349.899902
14/6/18,6675.350098
15/6/18,6456.580078
16/6/18,6550.160156
17/6/18,6499.27002
18/6/18,6734.819824
19/6/18,6769.939941
20/6/18,6776.549805
21/6/18,6729.740234
22/6/18,6083.689941
23/6/18,6162.47998
24/6/18,6173.22998
25/6/18,6249.180176
26/6/18,6093.669922
27/6/18,6157.129883
28/6/18,5903.439941
29/6/18,6218.299805
30/6/18,6404
1/7/18,6385.819824
2/7/18,6614.180176
3/7/18,6529.589844
4/7/18,6597.549805
5/7/18,6639.140137
6/7/18,6673.5
7/7/18,6856.930176
8/7/18,6773.879883
9/7/18,6741.75
10/7/18,6329.950195
11/7/18,6394.709961
12/7/18,6228.810059
13/7/18,6238.049805
14/7/18,6276.120117
15/7/18,6359.640137
16/7/18,6741.75
17/7/18,7321.040039
18/7/18,7370.779785
19/7/18,7466.859863
20/7/18,7354.129883
21/7/18,7419.290039
22/7/18,7418.490234
23/7/18,7711.109863
24/7/18,8424.269531
25/7/18,8181.390137
26/7/18,7951.580078
27/7/18,8165.009766
28/7/18,8192.150391
29/7/18,8218.459961
30/7/18,8180.47998
31/7/18,7780.439941
1/8/18,7624.910156
2/8/18,7567.149902
3/8/18,7434.390137
4/8/18,7032.850098
5/8/18,7068.47998
6/8/18,6951.799805
7/8/18,6753.120117
8/8/18,6305.799805
9/8/18,6568.22998
10/8/18,6184.709961
11/8/18,6295.72998
12/8/18,6322.689941
13/8/18,6297.569824
14/8/18,6199.709961
15/8/18,6308.52002
16/8/18,6334.72998
17/8/18,6580.629883
18/8/18,6423.759766
19/8/18,6506.069824
20/8/18,6308.529785
21/8/18,6488.759766
22/8/18,6376.709961
23/8/18,6534.879883
24/8/18,6719.959961
25/8/18,6763.189941
26/8/18,6707.259766
27/8/18,6884.640137
28/8/18,7096.279785
29/8/18,7047.160156
30/8/18,6978.22998
31/8/18,7037.580078
1/9/18,7193.25
2/9/18,7272.720215
3/9/18,7260.060059
4/9/18,7361.660156
5/9/18,6792.830078
6/9/18,6529.169922
7/9/18,6467.069824
8/9/18,6225.97998
9/9/18,6300.859863
10/9/18,6329.700195
11/9/18,6321.200195
12/9/18,6351.799805
13/9/18,6517.310059
14/9/18,6512.709961
15/9/18,6543.200195
16/9/18,6517.180176
17/9/18,6281.200195
18/9/18,6371.299805
19/9/18,6398.540039
20/9/18,6519.669922
21/9/18,6734.950195
22/9/18,6721.97998
23/9/18,6710.629883
24/9/18,6595.410156
25/9/18,6446.470215
26/9/18,6495
27/9/18,6676.75
28/9/18,6644.129883
29/9/18,6601.959961
30/9/18,6625.560059
1/10/18,6589.620117
2/10/18,6556.100098
3/10/18,6502.589844
4/10/18,6576.689941
5/10/18,6622.47998
6/10/18,6588.310059
7/10/18,6602.950195
8/10/18,6652.22998
9/10/18,6642.640137
10/10/18,6585.529785
11/10/18,6256.240234
12/10/18,6274.580078
13/10/18,6285.990234
14/10/18,6290.930176
15/10/18,6596.540039
16/10/18,6596.109863
17/10/18,6544.430176
18/10/18,6476.709961
19/10/18,6465.410156
20/10/18,6489.189941
21/10/18,6482.350098
22/10/18,6487.160156
23/10/18,6475.740234
24/10/18,6495.839844
25/10/18,6476.290039
26/10/18,6474.75
27/10/18,6480.379883
28/10/18,6486.390137
29/10/18,6332.629883
30/10/18,6334.27002
31/10/18,6317.609863
1/11/18,6377.779785
2/11/18,6388.439941
3/11/18,6361.259766
4/11/18,6376.129883
5/11/18,6419.660156
6/11/18,6461.009766
7/11/18,6530.140137
8/11/18,6453.720215
9/11/18,6385.620117
10/11/18,6409.220215
11/11/18,6411.27002
12/11/18,6371.27002
13/11/18,6359.490234
14/11/18,5738.350098
15/11/18,5648.029785
16/11/18,5575.549805
17/11/18,5554.330078
18/11/18,5623.540039
19/11/18,4871.490234
20/11/18,4451.870117
21/11/18,4602.169922
22/11/18,4365.939941
23/11/18,4347.109863
24/11/18,3880.76001
25/11/18,4009.969971
26/11/18,3779.129883
27/11/18,3820.719971
28/11/18,4257.419922
29/11/18,4278.84668
30/11/18,4017.268555
1/12/18,4214.671875
2/12/18,4139.87793
3/12/18,3894.130859
4/12/18,3956.893799
5/12/18,3753.994873
6/12/18,3521.101807
7/12/18,3419.937256
8/12/18,3476.114746
9/12/18,3614.234375
10/12/18,3502.656006
11/12/18,3424.588135
12/12/18,3486.950195
13/12/18,3313.677246
14/12/18,3242.484863
15/12/18,3236.761719
16/12/18,3252.839111
17/12/18,3545.864746
18/12/18,3696.059082
19/12/18,3745.950684
20/12/18,4134.441406
21/12/18,3896.543701
22/12/18,4014.182617
23/12/18,3998.980225
24/12/18,4078.599121
25/12/18,3815.490723
26/12/18,3857.297607
27/12/18,3654.833496
28/12/18,3923.918701
29/12/18,3820.408691
30/12/18,3865.952637
31/12/18,3742.700439
1/1/19,3843.52002
2/1/19,3943.409424
3/1/19,3836.741211
4/1/19,3857.717529
5/1/19,3845.19458
6/1/19,4076.632568
7/1/19,4025.248291
8/1/19,4030.8479
9/1/19,4035.296387
10/1/19,3678.924561
11/1/19,3687.365479
12/1/19,3661.301025
13/1/19,3552.953125
14/1/19,3706.052246
15/1/19,3630.675293
16/1/19,3655.006836
17/1/19,3678.563965
18/1/19,3657.839355
19/1/19,3728.568359
20/1/19,3601.013672
21/1/19,3576.032471
22/1/19,3604.577148
23/1/19,3585.123047
24/1/19,3600.865479
25/1/19,3599.765869
26/1/19,3602.460449
27/1/19,3583.96582
28/1/19,3470.450439
29/1/19,3448.116943
30/1/19,3486.181641
31/1/19,3457.792725
1/2/19,3487.945313
2/2/19,3521.060791
3/2/19,3464.013428
4/2/19,3459.154053
5/2/19,3466.357422
6/2/19,3413.767822
7/2/19,3399.47168
8/2/19,3666.780273
9/2/19,3671.203613
10/2/19,3690.188232
11/2/19,3648.430664
12/2/19,3653.528564
13/2/19,3632.070557
14/2/19,3616.880859
15/2/19,3620.810791
16/2/19,3629.787598
17/2/19,3673.836182
18/2/19,3915.714355
19/2/19,3947.094482
20/2/19,3999.820557
21/2/19,3954.118164
22/2/19,4005.526611
23/2/19,4142.526855
24/2/19,3810.42749
25/2/19,3882.696289
26/2/19,3854.35791
27/2/19,3851.047363
28/2/19,3854.7854
1/3/19,3859.58374
2/3/19,3864.415039
3/3/19,3847.175781
4/3/19,3761.557129
5/3/19,3896.375
6/3/19,3903.942627
7/3/19,3911.484375
8/3/19,3901.131592
9/3/19,3963.313721
10/3/19,3951.599854
11/3/19,3905.227295
12/3/19,3909.15625
13/3/19,3906.717285
14/3/19,3924.369141
15/3/19,3960.911133
16/3/19,4048.72583
17/3/19,4025.229004
18/3/19,4032.507324
19/3/19,4071.190186
