Date,Price
23/5/18,1005.609985
24/5/18,1071.359985
25/5/18,1017.299988
26/5/18,1012.47998
27/5/18,996.9240112
28/5/18,892.117981
29/5/18,987.6630249
30/5/18,984.6760254
31/5/18,995.3439941
1/6/18,1002.919983
2/6/18,1084.780029
3/6/18,1170.400024
4/6/18,1105.800049
5/6/18,1152.890015
6/6/18,1131.170044
7/6/18,1143.75
8/6/18,1118.189941
9/6/18,1092.130005
10/6/18,939.5460205
11/6/18,958.5640259
12/6/18,874.434021
13/6/18,844.2420044
14/6/18,897.6019897
15/6/18,849.3150024
16/6/18,852.190979
17/6/18,852.1019897
18/6/18,885.6389771
19/6/18,904.6519775
20/6/18,890.4530029
21/6/18,874.0939941
22/6/18,755.9749756
23/6/18,762.7589722
24/6/18,749.3649902
25/6/18,756.8460083
26/6/18,700.2589722
27/6/18,713.7670288
28/6/18,660.2399902
29/6/18,715.7109985
30/6/18,748.7089844
1/7/18,739.4249878
2/7/18,776.1749878
3/7/18,757.9470215
4/7/18,762.3950195
5/7/18,748.2249756
6/7/18,737.3309937
7/7/18,775.2969971
8/7/18,751.3519897
9/7/18,733.3839722
10/7/18,688.6290283
11/7/18,707.4799805
12/7/18,682.7550049
13/7/18,696.5880127
14/7/18,704.0570068
15/7/18,722.973999
16/7/18,805.677002
17/7/18,850.7789917
18/7/18,829.9370117
19/7/18,824.8930054
20/7/18,767.6550293
21/7/18,789.4860229
22/7/18,788.6660156
23/7/18,784.3859863
24/7/18,869.46698
25/7/18,831.4550171
26/7/18,806.1779785
27/7/18,819.3870239
28/7/18,818.8300171
29/7/18,828.9790039
30/7/18,816.0780029
31/7/18,777.1459961
1/8/18,769.348999
2/8/18,734.7589722
3/8/18,724.7080078
4/8/18,695.7349854
5/8/18,709.2189941
6/8/18,692.6300049
7/8/18,659.3839722
8/8/18,585.4459839
9/8/18,610.7810059
10/8/18,572.4379883
11/8/18,566.7730103
12/8/18,570.9589844
13/8/18,535.9769897
14/8/18,509.3049927
15/8/18,513.6729736
16/8/18,517.3449707
17/8/18,597.0120239
18/8/18,554.9210205
19/8/18,569.9260254
20/8/18,515.6599731
21/8/18,536.5670166
22/8/18,519.9520264
23/8/18,530.7689819
24/8/18,535.4050293
25/8/18,537.2390137
26/8/18,522.8839722
27/8/18,546.3569946
28/8/18,565.3060303
29/8/18,554.3670044
30/8/18,540.0250244
31/8/18,543.0780029
1/9/18,615.3120117
2/9/18,645.8800049
3/9/18,626.3629761
4/9/18,625.0670166
5/9/18,530.5130005
6/9/18,519.1619873
7/9/18,501.5690002
8/9/18,475.2850037
9/9/18,481.1849976
10/9/18,465.5870056
11/9/18,440.8349915
12/9/18,432.8479919
13/9/18,464.4370117
14/9/18,449.5029907
15/9/18,450.6839905
16/9/18,449.1600037
17/9/18,420.4519958
18/9/18,435.6789856
