Date,ADA
1/10/17,0.024969
2/10/17,0.025931999
3/10/17,0.020816
4/10/17,0.021931
5/10/17,0.021489
6/10/17,0.018539
7/10/17,0.020941
8/10/17,0.020477001
9/10/17,0.022113999
10/10/17,0.021531001
11/10/17,0.02252
12/10/17,0.026252
13/10/17,0.033640999
14/10/17,0.032465
15/10/17,0.030049
16/10/17,0.028948
17/10/17,0.027217001
18/10/17,0.026691001
19/10/17,0.027031999
20/10/17,0.03063
21/10/17,0.028436
22/10/17,0.027729001
23/10/17,0.025454
24/10/17,0.027193001
25/10/17,0.027527001
26/10/17,0.027132001
27/10/17,0.026381999
28/10/17,0.025866
29/10/17,0.028607
30/10/17,0.028582999
31/10/17,0.030437
1/11/17,0.022986
2/11/17,0.021306001
3/11/17,0.022628
4/11/17,0.022022
5/11/17,0.020634999
6/11/17,0.021880999
7/11/17,0.022195
8/11/17,0.025186
9/11/17,0.032053001
10/11/17,0.027119
11/11/17,0.027437
12/11/17,0.023977
13/11/17,0.025807999
14/11/17,0.02623
15/11/17,0.026445
16/11/17,0.02758
17/11/17,0.025773
18/11/17,0.026369
19/11/17,0.028084001
20/11/17,0.029580999
21/11/17,0.02833
22/11/17,0.028549001
23/11/17,0.027443999
24/11/17,0.028382
25/11/17,0.030447001
26/11/17,0.036332
27/11/17,0.050593
28/11/17,0.119744003
29/11/17,0.089717999
30/11/17,0.119883001
1/12/17,0.131352007
2/12/17,0.132350996
3/12/17,0.131806999
4/12/17,0.135869995
5/12/17,0.127488002
6/12/17,0.117839001
7/12/17,0.105501004
8/12/17,0.115465
9/12/17,0.119608998
10/12/17,0.110280998
11/12/17,0.121382996
12/12/17,0.133891001
13/12/17,0.134280995
14/12/17,0.240752995
15/12/17,0.213467002
16/12/17,0.404664993
17/12/17,0.513010979
18/12/17,0.518198013
19/12/17,0.531273007
20/12/17,0.48615101
21/12/17,0.477851003
22/12/17,0.40715
23/12/17,0.414027005
24/12/17,0.390029013
25/12/17,0.416363001
26/12/17,0.428465009
27/12/17,0.414175987
28/12/17,0.407700986
29/12/17,0.529299021
30/12/17,0.639243007
31/12/17,0.719694972
1/1/18,0.728657007
2/1/18,0.782586992
3/1/18,1.079660058
4/1/18,1.114120007
5/1/18,0.999558985
6/1/18,1.027150035
7/1/18,1.008520007
8/1/18,0.899002016
9/1/18,0.814742982
10/1/18,0.79312098
11/1/18,0.688412011
12/1/18,0.897508025
13/1/18,0.884123981
14/1/18,0.802262008
15/1/18,0.778586984
16/1/18,0.626492977
17/1/18,0.629101992
18/1/18,0.659843028
19/1/18,0.650497973
20/1/18,0.707509995
21/1/18,0.613162994
22/1/18,0.570457995
23/1/18,0.563069999
24/1/18,0.622207999
25/1/18,0.637494981
26/1/18,0.623381972
27/1/18,0.616832972
28/1/18,0.670286
29/1/18,0.623203993
30/1/18,0.531912982
31/1/18,0.519315004
1/2/18,0.421671987
2/2/18,0.390534014
3/2/18,0.438836008
4/2/18,0.379303008
5/2/18,0.327371001
6/2/18,0.369753003
7/2/18,0.340447009
8/2/18,0.356584013
9/2/18,0.39160201
10/2/18,0.405871987
11/2/18,0.369769007
12/2/18,0.384315014
13/2/18,0.373313993
14/2/18,0.396907985
15/2/18,0.409368008
16/2/18,0.403809994
17/2/18,0.419883013
18/2/18,0.385618001
19/2/18,0.391472012
20/2/18,0.378778994
21/2/18,0.364441007
22/2/18,0.337870985
23/2/18,0.345257998
24/2/18,0.322966009
25/2/18,0.344033003
26/2/18,0.338335007
27/2/18,0.335536003
28/2/18,0.312581003
1/3/18,0.304396987
2/3/18,0.293504
3/3/18,0.297105998
4/3/18,0.300787002
5/3/18,0.297621995
6/3/18,0.285356998
7/3/18,0.247281
8/3/18,0.221743003
9/3/18,0.222206995
10/3/18,0.209873006
11/3/18,0.223498002
12/3/18,0.223721996
13/3/18,0.223026007
14/3/18,0.199561998
15/3/18,0.185709
16/3/18,0.178877994
17/3/18,0.154762998
18/3/18,0.156155005
19/3/18,0.197648004
20/3/18,0.204946995
21/3/18,0.213189006
22/3/18,0.203481004
23/3/18,0.189258993
24/3/18,0.189200997
25/3/18,0.184605002
26/3/18,0.167806
27/3/18,0.154926002
28/3/18,0.160058007
29/3/18,0.146881998
30/3/18,0.147209004
31/3/18,0.155919001
1/4/18,0.150767997
2/4/18,0.156385005
3/4/18,0.172446996
4/4/18,0.155356005
5/4/18,0.148757994
6/4/18,0.144451007
7/4/18,0.148793995
8/4/18,0.156599
9/4/18,0.153106004
10/4/18,0.156347007
11/4/18,0.166029006
12/4/18,0.212233007
13/4/18,0.200532004
14/4/18,0.200853005
15/4/18,0.221389994
16/4/18,0.256646007
17/4/18,0.243724003
18/4/18,0.260340989
19/4/18,0.272358
20/4/18,0.301247001
21/4/18,0.290580004
22/4/18,0.285535008
23/4/18,0.28847301
24/4/18,0.312875003
25/4/18,0.27165401
26/4/18,0.294295013
27/4/18,0.288489014
28/4/18,0.357874006
29/4/18,0.365056992
30/4/18,0.343317986
1/5/18,0.358693004
2/5/18,0.372420013
3/5/18,0.369709015
4/5/18,0.360181987
5/5/18,0.366338015
6/5/18,0.350021005
7/5/18,0.335175991
8/5/18,0.328352004
9/5/18,0.323592991
10/5/18,0.29708901
11/5/18,0.260127008
12/5/18,0.270931989
13/5/18,0.285890013
14/5/18,0.273434013
15/5/18,0.260154992
16/5/18,0.256375015
17/5/18,0.243663996
18/5/18,0.245544001
19/5/18,0.243270993
20/5/18,0.256136
21/5/18,0.248840004
22/5/18,0.224408001
23/5/18,0.202873006
24/5/18,0.208988994
25/5/18,0.200654998
26/5/18,0.196566999
27/5/18,0.193556994
28/5/18,0.174783006
29/5/18,0.203189999
30/5/18,0.211143002
31/5/18,0.225214005
1/6/18,0.222507
2/6/18,0.227742001
3/6/18,0.228154004
4/6/18,0.214011997
5/6/18,0.220467001
6/6/18,0.215720996
7/6/18,0.211118996
8/6/18,0.205357999
9/6/18,0.202090994
10/6/18,0.176868007
11/6/18,0.181280002
12/6/18,0.166584998
13/6/18,0.160408005
14/6/18,0.172374994
15/6/18,0.162746996
16/6/18,0.162962005
17/6/18,0.161379993
18/6/18,0.164116994
19/6/18,0.167184994
20/6/18,0.161984995
21/6/18,0.158555999
22/6/18,0.139838994
23/6/18,0.137868002
24/6/18,0.132703006
25/6/18,0.135269001
26/6/18,0.126099005
27/6/18,0.127443999
28/6/18,0.119319998
29/6/18,0.125719994
30/6/18,0.137670994
1/7/18,0.142207995
2/7/18,0.158278003
3/7/18,0.150655001
4/7/18,0.150959998
5/7/18,0.148920998
6/7/18,0.146083996
7/7/18,0.150372997
8/7/18,0.145389006
9/7/18,0.139971003
10/7/18,0.128792003
11/7/18,0.131483003
12/7/18,0.127180994
13/7/18,0.137887001
14/7/18,0.137091994
15/7/18,0.142261997
16/7/18,0.156118006
17/7/18,0.170864999
18/7/18,0.179378003
19/7/18,0.180868998
20/7/18,0.162175
21/7/18,0.163636997
22/7/18,0.170276999
23/7/18,0.164028004
24/7/18,0.173171997
25/7/18,0.172730997
26/7/18,0.164765
27/7/18,0.165539995
28/7/18,0.163379997
29/7/18,0.163313001
30/7/18,0.154087007
31/7/18,0.143297002
1/8/18,0.140900999
2/8/18,0.131941006
3/8/18,0.130254999
4/8/18,0.127546996
5/8/18,0.131721005
6/8/18,0.130553007
7/8/18,0.125377998
8/8/18,0.113752
9/8/18,0.123507001
10/8/18,0.116355002
11/8/18,0.112438999
12/8/18,0.112970002
13/8/18,0.102909997
14/8/18,0.094662003
15/8/18,0.095040001
16/8/18,0.095330998
17/8/18,0.109886996
18/8/18,0.099785
19/8/18,0.102436997
20/8/18,0.093764
21/8/18,0.095003001
22/8/18,0.090149
23/8/18,0.092453003
24/8/18,0.094076999
25/8/18,0.094282001
26/8/18,0.093337998
27/8/18,0.100263998
28/8/18,0.10548
29/8/18,0.105469003
30/8/18,0.100560002
31/8/18,0.102196001
1/9/18,0.106826998
2/9/18,0.104432002
3/9/18,0.103606999
4/9/18,0.105264999
5/9/18,0.087568998
6/9/18,0.088665999
7/9/18,0.083982997
8/9/18,0.078235
9/9/18,0.076642998
10/9/18,0.073508002
11/9/18,0.070513003
12/9/18,0.066744998
13/9/18,0.069829002
14/9/18,0.068248004
15/9/18,0.069321997
16/9/18,0.069963001
17/9/18,0.063899003
18/9/18,0.069430001
19/9/18,0.072350003
20/9/18,0.081492998
21/9/18,0.087605998
22/9/18,0.083192997
23/9/18,0.089754
24/9/18,0.082754001
25/9/18,0.081028
26/9/18,0.079475999
27/9/18,0.086001001
28/9/18,0.084031999
29/9/18,0.084605999
30/9/18,0.085194997
1/10/18,0.084468998
2/10/18,0.082525
3/10/18,0.080789
4/10/18,0.081303999
5/10/18,0.082990997
6/10/18,0.081303
7/10/18,0.084657997
8/10/18,0.086607002
9/10/18,0.086356997
10/10/18,0.084679
11/10/18,0.070938997
12/10/18,0.073214002
13/10/18,0.073103003
14/10/18,0.071292996
15/10/18,0.074789003
