Date,DOGE
11/6/18,0.003234
12/6/18,0.003089
13/6/18,0.002817
14/6/18,0.002944
15/6/18,0.002901
16/6/18,0.002895
17/6/18,0.002873
18/6/18,0.003027
19/6/18,0.003033
20/6/18,0.003021
21/6/18,0.002988
22/6/18,0.002668
23/6/18,0.002641
24/6/18,0.00251
25/6/18,0.002485
26/6/18,0.002478
27/6/18,0.002437
28/6/18,0.002357
29/6/18,0.002427
30/6/18,0.002499
1/7/18,0.002489
2/7/18,0.002703
3/7/18,0.002638
4/7/18,0.00268
5/7/18,0.002599
6/7/18,0.002597
7/7/18,0.002645
8/7/18,0.002611
9/7/18,0.002603
10/7/18,0.002411
11/7/18,0.002425
12/7/18,0.002306
13/7/18,0.002332
14/7/18,0.002362
15/7/18,0.00238
16/7/18,0.002854
17/7/18,0.003228
18/7/18,0.003712
19/7/18,0.003844
20/7/18,0.00341
21/7/18,0.00327
22/7/18,0.003458
23/7/18,0.003431
24/7/18,0.00362
25/7/18,0.003543
26/7/18,0.003393
27/7/18,0.003418
28/7/18,0.0034
29/7/18,0.003307
30/7/18,0.003273
31/7/18,0.002945
1/8/18,0.00316
2/8/18,0.002946
3/8/18,0.002918
4/8/18,0.002745
5/8/18,0.002837
6/8/18,0.002779
7/8/18,0.002671
8/8/18,0.002415
9/8/18,0.002555
10/8/18,0.002392
11/8/18,0.002404
12/8/18,0.002404
13/8/18,0.002331
14/8/18,0.00226
15/8/18,0.002303
16/8/18,0.002292
17/8/18,0.002455
18/8/18,0.002394
19/8/18,0.002473
20/8/18,0.002369
21/8/18,0.002424
22/8/18,0.002315
23/8/18,0.002385
24/8/18,0.002426
25/8/18,0.00237
26/8/18,0.002404
27/8/18,0.002462
28/8/18,0.002607
29/8/18,0.002606
30/8/18,0.003206
31/8/18,0.004794
1/9/18,0.006278
2/9/18,0.004999
3/9/18,0.005266
4/9/18,0.005269
5/9/18,0.004931
6/9/18,0.00501
7/9/18,0.005307
8/9/18,0.005692
9/9/18,0.005829
10/9/18,0.006892
11/9/18,0.006329
12/9/18,0.006455
13/9/18,0.006554
14/9/18,0.00618
15/9/18,0.006165
16/9/18,0.006531
17/9/18,0.006243
18/9/18,0.005981
19/9/18,0.005609
20/9/18,0.005695
21/9/18,0.005684
22/9/18,0.005758
23/9/18,0.005901
24/9/18,0.005677
25/9/18,0.005686
26/9/18,0.005695
27/9/18,0.005879
28/9/18,0.005831
29/9/18,0.005865
30/9/18,0.005906
1/10/18,0.005942
2/10/18,0.005824
3/10/18,0.005704
4/10/18,0.005645
5/10/18,0.005669
6/10/18,0.005545
7/10/18,0.005562
8/10/18,0.005578
9/10/18,0.005635
10/10/18,0.005552
11/10/18,0.005
12/10/18,0.005247
13/10/18,0.005182
14/10/18,0.005158
15/10/18,0.005218
16/10/18,0.005017
17/10/18,0.004599
18/10/18,0.004386
19/10/18,0.00447
20/10/18,0.004551
21/10/18,0.004517
22/10/18,0.004366
23/10/18,0.004172
24/10/18,0.003911
25/10/18,0.003717
26/10/18,0.003984
27/10/18,0.004195
28/10/18,0.004063
29/10/18,0.003847
30/10/18,0.00385
31/10/18,0.003764
1/11/18,0.003777
2/11/18,0.003773
3/11/18,0.003733
4/11/18,0.003676
5/11/18,0.003622
6/11/18,0.003696
7/11/18,0.003637
8/11/18,0.003384
9/11/18,0.00314
10/11/18,0.003285
11/11/18,0.003162
12/11/18,0.003064
13/11/18,0.002945
14/11/18,0.002695
15/11/18,0.0028
16/11/18,0.002746
17/11/18,0.002595
18/11/18,0.002643
19/11/18,0.002418
20/11/18,0.002254
21/11/18,0.002448
22/11/18,0.002412
23/11/18,0.002361
24/11/18,0.002224
25/11/18,0.00222
26/11/18,0.002099
27/11/18,0.002087
28/11/18,0.002246
29/11/18,0.002241
30/11/18,0.002165
1/12/18,0.00225
2/12/18,0.002246
3/12/18,0.002371
4/12/18,0.002196
5/12/18,0.00218
6/12/18,0.002097
7/12/18,0.002104
8/12/18,0.00212
9/12/18,0.002102
10/12/18,0.0021
11/12/18,0.002088
12/12/18,0.002111
13/12/18,0.002065
14/12/18,0.00207
15/12/18,0.002113
16/12/18,0.002125
17/12/18,0.002533
18/12/18,0.002684
19/12/18,0.00272
20/12/18,0.002731
21/12/18,0.002545
22/12/18,0.002502
23/12/18,0.002542
24/12/18,0.00254
25/12/18,0.002404
26/12/18,0.002474
27/12/18,0.002364
28/12/18,0.002434
29/12/18,0.002403
30/12/18,0.002367
31/12/18,0.002346
1/1/19,0.002392
2/1/19,0.002407
3/1/19,0.00236
4/1/19,0.002315
5/1/19,0.002319
6/1/19,0.002328
7/1/19,0.002285
8/1/19,0.002276
9/1/19,0.002266
10/1/19,0.002132
11/1/19,0.002129
12/1/19,0.002148
13/1/19,0.002094
14/1/19,0.002183
15/1/19,0.002111
16/1/19,0.002138
17/1/19,0.002094
18/1/19,0.002106
19/1/19,0.002153
20/1/19,0.002119
21/1/19,0.002101
22/1/19,0.002057
23/1/19,0.002043
24/1/19,0.002039
25/1/19,0.002118
26/1/19,0.002083
27/1/19,0.002027
28/1/19,0.001944
29/1/19,0.001927
30/1/19,0.001961
31/1/19,0.001925
1/2/19,0.001916
2/2/19,0.001936
3/2/19,0.001904
4/2/19,0.001896
5/2/19,0.001888
6/2/19,0.001866
7/2/19,0.001845
8/2/19,0.001956
9/2/19,0.001949
10/2/19,0.001946
11/2/19,0.001906
12/2/19,0.001894
13/2/19,0.001893
14/2/19,0.001897
15/2/19,0.001908
16/2/19,0.001924
17/2/19,0.001992
18/2/19,0.002114
19/2/19,0.002067
20/2/19,0.002079
21/2/19,0.002028
22/2/19,0.002056
23/2/19,0.002083
24/2/19,0.001974
25/2/19,0.00203
26/2/19,0.002023
27/2/19,0.002019
28/2/19,0.001976
1/3/19,0.001994
2/3/19,0.002003
3/3/19,0.001999
4/3/19,0.001982
5/3/19,0.001985
6/3/19,0.001983
7/3/19,0.001991
8/3/19,0.00198
9/3/19,0.001998
10/3/19,0.001999
11/3/19,0.001966
12/3/19,0.002012
13/3/19,0.002025
14/3/19,0.002039
15/3/19,0.002048
16/3/19,0.002077
17/3/19,0.002081
18/3/19,0.002083
19/3/19,0.002091
20/3/19,0.002061
21/3/19,0.002054
22/3/19,0.002052
23/3/19,0.002064
24/3/19,0.002054
25/3/19,0.002043
26/3/19,0.002054
27/3/19,0.002085
28/3/19,0.002074
29/3/19,0.002087
30/3/19,0.00208
31/3/19,0.00208
1/4/19,0.002461
2/4/19,0.002795
3/4/19,0.003164
4/4/19,0.003697
5/4/19,0.00359
6/4/19,0.003439
7/4/19,0.003418
8/4/19,0.003045
9/4/19,0.002884
10/4/19,0.003021
11/4/19,0.002789
12/4/19,0.002856
13/4/19,0.002872
14/4/19,0.002882
15/4/19,0.00279
16/4/19,0.002835
17/4/19,0.00281
18/4/19,0.002946
19/4/19,0.002893
20/4/19,0.002902
21/4/19,0.00276
22/4/19,0.002798
23/4/19,0.002772
24/4/19,0.002599
25/4/19,0.002506
26/4/19,0.002519
27/4/19,0.002516
28/4/19,0.002531
29/4/19,0.002466
30/4/19,0.002513
1/5/19,0.002521
2/5/19,0.002611
3/5/19,0.002721
4/5/19,0.00268
5/5/19,0.002653
6/5/19,0.002542
7/5/19,0.002536
8/5/19,0.002537
9/5/19,0.0025
10/5/19,0.002522
