Date,ETH
23/5/18,583.585022
24/5/18,601.7550049
25/5/18,586.7340088
26/5/18,587.2800293
27/5/18,572.6680298
28/5/18,516.0360107
29/5/18,565.3880005
30/5/18,559.5900269
31/5/18,577.6450195
1/6/18,580.0430298
2/6/18,591.8079834
3/6/18,618.3289795
4/6/18,592.9849854
5/6/18,609.3029785
6/6/18,607.1240234
7/6/18,605.1870117
8/6/18,601.0770264
9/6/18,597.5620117
10/6/18,526.4790039
11/6/18,533.2839966
12/6/18,496.8429871
13/6/18,477.493988
14/6/18,519.7420044
15/6/18,491.0039978
16/6/18,499.6419983
17/6/18,500.447998
18/6/18,518.8909912
19/6/18,537.9569702
20/6/18,536.2680054
21/6/18,527.3670044
22/6/18,465.8169861
23/6/18,474.519989
24/6/18,457.6719971
25/6/18,460.3099976
26/6/18,432.7720032
27/6/18,442.3649902
28/6/18,422.3649902
29/6/18,436.0090027
30/6/18,455.1799927
1/7/18,453.9179993
2/7/18,475.3469849
3/7/18,464.1950073
4/7/18,467.3179932
5/7/18,474.4119873
6/7/18,474.0119934
7/7/18,491.6600037
8/7/18,489.118988
9/7/18,476.6820068
10/7/18,434.4240112
11/7/18,446.5180054
12/7/18,430.0740051
13/7/18,434.0270081
14/7/18,436.0859985
15/7/18,449.8500061
16/7/18,480.6579895
17/7/18,501.0020142
18/7/18,480.5130005
19/7/18,469.618988
20/7/18,450.697998
21/7/18,462.4360046
22/7/18,459.6570129
23/7/18,450.8529968
24/7/18,479.3729858
25/7/18,472.4930115
26/7/18,464.0369873
27/7/18,469.6659851
28/7/18,466.8980103
29/7/18,466.6650085
30/7/18,457.0809937
31/7/18,433.8670044
1/8/18,420.7470093
2/8/18,412.6210022
3/8/18,418.2619934
4/8/18,407.2520142
5/8/18,410.5159912
6/8/18,406.6579895
7/8/18,380.2149963
8/8/18,356.6130066
9/8/18,365.5880127
10/8/18,334.1759949
11/8/18,322.1119995
12/8/18,319.5700073
13/8/18,286.4949951
14/8/18,278.9320068
15/8/18,282.3640137
16/8/18,288.04599
17/8/18,315.7290039
18/8/18,295.8120117
19/8/18,300.8340149
20/8/18,274.3150024
21/8/18,281.9440002
22/8/18,271.3410034
23/8/18,277.1040039
24/8/18,282.9670105
25/8/18,279.6459961
26/8/18,275.196991
27/8/18,285.6029968
28/8/18,296.4989929
29/8/18,289.3120117
30/8/18,284.105011
31/8/18,283.0039978
1/9/18,295.3410034
2/9/18,294.3710022
3/9/18,289.2590027
4/9/18,285.7229919
5/9/18,232.3309937
6/9/18,230.2149963
7/9/18,217.2030029
8/9/18,197.951004
9/9/18,196.923996
10/9/18,197.0789948
11/9/18,185.0659943
12/9/18,183.3309937
13/9/18,211.3540039
14/9/18,211.7489929
15/9/18,223.0740051
16/9/18,220.5890045
17/9/18,197.875
18/9/18,209.9750061
19/9/18,209.9689941
20/9/18,224.5910034
21/9/18,246.5839996
22/9/18,240.4799957
23/9/18,244.3300018
24/9/18,228.7299957
25/9/18,218.5050049
26/9/18,215.8470001
27/9/18,228.4940033
28/9/18,222.4019928
29/9/18,231.6349945
30/9/18,232.8480072
1/10/18,230.7680054
2/10/18,227.1809998
3/10/18,220.4889984
4/10/18,222.2180023
5/10/18,227.6009979
6/10/18,225.1199951
7/10/18,226.1190033
8/10/18,229.2550049
9/10/18,227.9819946
10/10/18,225.7689972
11/10/18,189.4989929
12/10/18,196.727005
13/10/18,199.8410034
14/10/18,195.7149963
15/10/18,209.7039948
16/10/18,210.1199951
17/10/18,207.0829926
18/10/18,203.352005
19/10/18,203.727005
20/10/18,205.4299927
21/10/18,205.1419983
22/10/18,204.0440063
23/10/18,204.3359985
24/10/18,203.852005
25/10/18,202.7189941
26/10/18,203.3289948
27/10/18,204.2100067
28/10/18,205.3659973
29/10/18,197.246994
30/10/18,197.5559998
31/10/18,197.3809967
1/11/18,198.871994
2/11/18,200.6349945
3/11/18,200.1860046
4/11/18,207.4859924
5/11/18,209.0910034
6/11/18,218.4519958
7/11/18,217.1829987
8/11/18,212.2310028
9/11/18,210.0740051
10/11/18,212.5330048
11/11/18,211.3399963
12/11/18,210.4179993
13/11/18,206.826004
14/11/18,181.3970032
15/11/18,180.8059998
16/11/18,175.177002
17/11/18,174.0010071
18/11/18,177.0670013
19/11/18,149.1750031
20/11/18,130.3390045
21/11/18,136.701004
22/11/18,126.7060013
23/11/18,123.2959976
24/11/18,113.4940033
25/11/18,116.4499969
26/11/18,108.3349991
27/11/18,110.0100021
28/11/18,122.4380035
29/11/18,117.5426483
30/11/18,113.1714172
1/12/18,118.6355591
2/12/18,116.3889008
3/12/18,108.9250183
4/12/18,110.2141876
5/12/18,102.4755554
6/12/18,91.76105499
7/12/18,93.29456329
8/12/18,92.15963745
9/12/18,95.14205933
10/12/18,91.68565369
11/12/18,88.94530487
12/12/18,90.59329987
13/12/18,86.53931427
14/12/18,84.3082962
15/12/18,84.44081116
16/12/18,85.26210022
17/12/18,95.13382721
18/12/18,101.1124573
19/12/18,101.2685776
20/12/18,116.2168732
21/12/18,109.4962311
22/12/18,116.7594986
23/12/18,130.7652588
24/12/18,140.2380066
25/12/18,129.8443451
26/12/18,131.8656311
27/12/18,116.5759125
28/12/18,137.6470184
29/12/18,138.0183411
30/12/18,139.8594513
31/12/18,133.3682556
1/1/19,140.8194122
2/1/19,155.0476837
3/1/19,149.1350098
4/1/19,154.5819397
5/1/19,155.6385956
6/1/19,157.7462006
7/1/19,151.6992188
8/1/19,150.3596344
9/1/19,150.8031158
10/1/19,128.6251831
11/1/19,127.5483246
12/1/19,125.9665298
13/1/19,116.8978043
14/1/19,129.0687256
15/1/19,122.0327148
16/1/19,123.5470657
17/1/19,123.7419205
18/1/19,121.0102615
19/1/19,124.5190201
20/1/19,119.4748306
21/1/19,117.1578522
22/1/19,118.747551
23/1/19,117.4526062
24/1/19,117.3628845
25/1/19,116.3783417
26/1/19,116.488739
27/1/19,113.4052887
28/1/19,106.5899734
29/1/19,105.5982132
30/1/19,108.9075394
31/1/19,107.0610123
1/2/19,107.609787
2/2/19,110.4302597
3/2/19,107.4926682
4/2/19,107.8216019
5/2/19,107.4435196
6/2/19,104.9192886
7/2/19,104.5353012
8/2/19,119.267746
9/2/19,119.4308853
10/2/19,124.806488
11/2/19,121.2983932
12/2/19,122.5722885
13/2/19,122.5536041
14/2/19,121.3902054
15/2/19,122.1003876
16/2/19,123.2602158
17/2/19,133.598877
18/2/19,146.0983734
19/2/19,145.3461914
20/2/19,149.5543365
21/2/19,146.1308441
22/2/19,149.092453
23/2/19,158.7954254
24/2/19,135.8526611
25/2/19,139.8228607
26/2/19,138.0896759
27/2/19,136.1259613
28/2/19,136.7462463
1/3/19,136.4436188
2/3/19,134.206955
3/3/19,132.2494202
4/3/19,127.7741241
5/3/19,137.8223877
6/3/19,138.7893524
7/3/19,138.0345001
8/3/19,135.1270752
9/3/19,137.965332
10/3/19,136.7586823
11/3/19,133.8340302
12/3/19,134.4428864
13/3/19,133.2630768
14/3/19,133.7115936
15/3/19,137.6917877
16/3/19,142.3981781
17/3/19,140.0005493
18/3/19,139.3746033
19/3/19,140.5191956
20/3/19,140.6863556
21/3/19,136.6360626
22/3/19,137.1814423
23/3/19,138.2398682
24/3/19,136.9869232
25/3/19,135.0310211
26/3/19,135.4603577
27/3/19,140.9881592
28/3/19,139.4164734
29/3/19,142.4974213
30/3/19,142.0926819
31/3/19,141.5140991
1/4/19,141.8303223
